,Name,Rate,Review Count,Adress,Phone
0,Pizzarium 01,4.6,1200,Gdańsk,
1,San Marco Ristorante & Pizzeria,4.3,2000,Gdańsk,
2,MAGNIFICO Pizza & Pasta,4.8,663,Gdańsk,
3,Monte Carlo Pizza i Wino,4.7,1000,Gdańsk,
4,Ristorante I Pazzi,4.7,1500,Gdańsk,
5,Pizzeria Italiana Mamma Mia,4.7,445,Gdańsk,
6,Trattoria Al Dente,4.5,358,Gdańsk,
7,Al Ponte Ristorante,4.3,515,Gdańsk,
8,Pizza Napoli Orunia Fieldorfa 2,4.6,888,Gdańsk,
9,Włoska Robota,4.4,476,Gdańsk,
10,Oliwa Do Ognia,4.6,1900,Gdańsk,
11,Sempre Pizza e Vino - Długa,4.0,1200,Gdańsk,
12,Grazie Mille Pizza Express Suchanino,4.7,98,Gdańsk,
13,NOI pizza i wino,4.8,363,Gdańsk,
14,Restauracja Trattoria La Cantina Kuchnia włoska,4.6,959,Gdańsk · In the University Clinical Centre in Gdańsk,
15,Tutti Santi,4.7,2200,Gdańsk · In City Meble,
16,Here There Restourant,4.6,500,Gdańsk · In TEB Arystokracja,
17,Czerwony Piec Gdańsk,4.6,470,Gdańsk,
18,Farina,4.5,705,Gdańsk,
19,Ukryta Olivka | pizza & pasta,4.6,514,Gdynia,
20,Pizza Pasta & Basta,4.1,791,Gdańsk,
21,Grazie Mille Pizza Express Przymorze,4.9,312,Gdańsk,
22,Bresno,4.5,1100,Gdańsk,
23,Ogniem i Piecem Gdynia,4.6,2500,Gdynia,
24,Made in Napoli Sopot,4.5,848,Sopot,
25,Viva La Pizza,4.5,1300,Gdynia,
26,Ristorante Con Giardino,4.7,470,Gdańsk,
27,Jack's Pizza,4.0,115,Gdańsk,
28,La Sicilia,4.5,1100,Gdańsk,
29,La Cucina Ristorante,4.5,1200,Gdańsk,
30,Dolce Pomodoro,4.8,311,Gdańsk,
31,Pizzeria La Famiglia,4.5,1400,Gdańsk,
32,Amici,4.5,1400,Sopot,
33,Panie Janie Pizza,4.5,260,Gdańsk,
34,Na Okrągło,4.7,597,Gdańsk,
35,Peperino,4.2,2000,Gdańsk,
36,Rogata,4.7,1900,Gdańsk,
37,Pizzeria Prendo Gusto,4.2,246,Gdańsk,
38,Flour and Coffee,4.7,2400,Gdańsk · In Galeria Metropolia,
39,Pizzeria Anetti Kuchnia włoska Restauracja włoska,4.4,84,Reda,
40,Pizzeria Prendo Gusto,4.2,246,Gdańsk,
41,Flour and Coffee,4.7,2400,Gdańsk · In Galeria Metropolia,
42,Pizzeria Anetti Kuchnia włoska Restauracja włoska,4.4,84,Reda,
43,Restauracja Bazylia,4.0,1100,Gdańsk,
44,Pizzeria Stella del Nord,4.5,625,Gdańsk,
45,Ristorante Sempre Sopot,3.9,1800,Sopot · In Skwer ks. Otto Bowiena,
46,Ristorante Tesoro,4.3,2900,Sopot,
47,Primo Piatto,4.2,332,Gdańsk,
48,PIZZERIA TAORMINA,4.1,344,Gdańsk,
49,Mondo pizza&bar,4.4,1300,Kartuzy,
50,FRESCO Morena,4.2,638,Gdańsk,
51,MAXX Pizza,4.6,3700,Gdańsk,
52,Casa Cubeddu By Domenico,4.4,1300,Gdynia,
53,Włoszczyzna Morena,4.8,1400,Gdańsk,
54,LEKKO Good Food & Friends,4.8,508,Gdańsk,
55,Prosto,4.6,2100,Sopot · In Sopot Centrum,
56,Ciao Pizza!,4.2,100,Gdańsk,
57,Domowa Maniana,4.3,458,Gdańsk,
58,Sempre Pizza & Vino Targ Rybny,4.0,1200,Gdańsk,
59,A MODO MIO CIRO NARDI,4.2,852,Sopot,
60,Pazzi Ragazzi,4.7,218,Gdańsk · In Bingo,
61,Restauracja Chleb i Wino Gdańsk,4.6,7900,Gdańsk,
62,Restauracja Serio,4.4,1800,Gdynia,
63,John's Pizza,4.0,810,Gdańsk,
64,Patrizio - Restauracja i Pizzeria,4.2,659,Bąkowo,
65,Pizzeria Królewska,3.7,1100,Gdańsk,
66,Pizzeria Rukola,4.2,390,Gdynia,
67,Pizza Tino Gdynia Karwiny,4.1,404,Gdynia,
68,Pizzeria Bazylia,4.1,180,Bojano,
69,Pizzeria Pogórzanka Kuchnia włoska Pizza na dowóz,4.8,458,Gdynia,
70,Fellini,4.5,569,Gdańsk,
71,La Bocca,4.5,633,Gdańsk,
72,Planeta. Pizzeria. Dania obiadowe,4.1,509,Gdańsk,
73,🍕 Pizzeria Krokodyl - Gdańsk Morena,3.7,498,Gdańsk,
74,Pizza Hut Express,3.9,184,Gdańsk · In Galeria Metropolia,
75,Dominium by Domino's,3.8,444,Gdańsk · In Alfa Centrum,
76,Pizzeria Napoli,3.8,473,Gdańsk,
77,🍕 Pizzeria Krokodyl - Gdańsk Zaspa,3.7,978,Gdańsk,
78,Cienko i Grubo,4.2,45,Reda,
79,AïOLI inspired by Gdańsk,4.4,7000,Gdańsk,
80,Da Grasso,4.0,713,Gdynia,
81,New York Pizza Department,3.1,229,Gdańsk,
82,ControlFood,3.8,631,Gdańsk,
83,Gruby Benek Gdańsk Centrum,3.6,219,Gdańsk,
84,Bistro Waniliowa 6,4.3,496,Gdynia,
85,Pizzeria Gruby Benek Gdynia,4.0,806,Gdynia,
86,La Strada. Pizzeria,4.0,1200,Wejherowo,
87,Telepizza,3.5,370,Gdańsk,
88,Domino's Pizza,2.8,384,Gdańsk,
89,Pizzeria Euro Malbork,3.7,358,Malbork,
90,Gruby Benek,3.7,640,Pruszcz Gdański,
91,Olivka Pasta Fresca Ristorante,4.3,1200,Gdańsk,
92,Ombrello | Kuchnia Sródziemnomorska,4.9,478,Gdańsk,
93,Mono,4.3,1900,Gdańsk,
94,Felino,4.6,273,Gdańsk,
95,Mobile Pizza Italiana,4.9,46,Gdańsk,
96,FELICE Ristorante,4.5,209,Gdańsk,
97,Pizzeria Di Amadeo,4.7,353,Gdańsk,
98,The Italian Pizzeria Restauracja,4.2,416,Jastarnia,
99,PIZZERIA BELLA - ITALIA,4.2,18,Gdańsk,
100,Grazie Mille Ristorante,4.8,253,Gdańsk,
101,da Mario pizza e fritti,4.6,102,Gdańsk,
102,Pizza Plus on the Island,4.9,346,Gdańsk,
103,Pipistrello Pizza&Vino,3.3,243,Gdańsk,
104,Pizzeria da Raffaele,4.8,458,Gdańsk,
105,Saporito,4.9,108,Kowale,
106,PIZZA ITALY,4.0,137,Bielawa,
107,Pizza Hut Gdańsk Madison,4.4,135,Gdańsk · In Madison Shopping Mall,
108,Pelati,4.5,150,Gdańsk,
109,GiGi Pizza,4.6,208,Gdynia,
110,Pizzeria Enigma22,4.6,338,Gdańsk,
111,Pizza Italy,4.6,412,"Terchová, Slovakia",
112,Napoli Pizza & Pasta - Rumia,4.1,508,Rumia,
113,Sjesta Pizzeria,4.1,536,Tczew,
114,Tam Gdzie Zawsze Brzeźno,4.1,368,Gdańsk,
115,Hot Italian Pizza Zielona Góra,4.4,290,Zielona Góra,
116,Husak Pizza,4.9,430,Gdańsk,
117,Little Italy,4.5,68,"Oslo, Norway · In Vinderen Torvet",
118,Mąka i Oliwa,4.1,17,Gdańsk,
119,Toscana,4.5,840,Sopot,
120,Italian Pizza,4.4,171,Wrząsowice,
121,Pinco Pallino,4.4,832,Poznań,
122,Chianti Grill Bar,4.4,291,Sopot,
123,Bistro Kuźnia,4.3,872,Gdańsk,
124,Ristorante O' Sole Mio! Gdańsk,4.0,106,Gdańsk,
125,L'Antica Pizzeria da Michele,4.4,25000,"Naples, Metropolitan City of Naples, Italy",
126,"Kantyna Port Gdynia - restauracja, catering dla firm na dowóz, obiady na wynos, zupy, pizza, burgery, fast food, posiłki regeneracyjne i profilaktyczne dla pracowników",4.9,86,Gdynia · In BCT Baltic Container Terminal,
